Description,Price,Rating,ReviewCount,Url
"TECLAST F5 2 in 1 Touchscreen Laptop,360° Convertible 11.6 "" 1920x1080P FHD IPS Notebook 8GB RAM 256GB SSD ROM 10 Point Touch Intel Quad Core CPU Windows 10 M.2 2242 (Max 1TB),TF Slot, Type-C",$369.99,3.7 out of 5 stars,62,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A093364227GMYEN3RXC8G&url=%2FTECLAST-F5-Touchscreen-Convertible-1920x1080P%2Fdp%2FB083BM815K%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dlaptop%2B8gb%26qid%3D1607273220%26sr%3D8-1-spons%26psc%3D1&qualifier=1607273220&id=5446002291691898&widgetName=sp_atf
"CHUWI CoreBook Pro 13"" Laptop with Intel Core i3 Processor 8GB RAM 256GB SSD 2160x1440 Pixels IPS Display, Backlit Keyboard, AC Wi-Fi, BT4.2 Type-C, Stereo Speakers, Windows 10 Notebook Light and Thin",$439.00,4.0 out of 5 stars,6,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0080002SCQA3CGVACON&url=%2FCHUWI-CoreBook-Pro-Processor-2160x1440%2Fdp%2FB08MW1QKVM%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dlaptop%2B8gb%26qid%3D1607273220%26sr%3D8-2-spons%26psc%3D1&qualifier=1607273220&id=5446002291691898&widgetName=sp_atf
"Lenovo IdeaPad 3 14"" Laptop, 14.0"" FHD 1920 x 1080 Display, AMD Ryzen 5 3500U Processor, 8GB DDR4 RAM, 256GB SSD, AMD Radeon Vega 8 Graphics, Narrow Bezel, Windows 10, 81W0003QUS, Abyss Blue",$499.00,4.5 out of 5 stars,"1,435",https://www.amazon.com/Lenovo-IdeaPad-Processor-Graphics-81W0003QUS/dp/B0862269YP/ref=sr_1_3?dchild=1&keywords=laptop+8gb&qid=1607273220&sr=8-3
"Acer Aspire 5 Slim Laptop, 15.6 inches Full HD IPS Display, AMD Ryzen 3 3200U, Vega 3 Graphics, 4GB DDR4, 128GB SSD, Backlit Keyboard, Windows 10 in S Mode, A515-43-R19L, Silver",$479.00,4.6 out of 5 stars,"18,313",https://www.amazon.com/Acer-Display-Graphics-Keyboard-A515-43-R19L/dp/B07RF1XD36/ref=sr_1_4?dchild=1&keywords=laptop+8gb&qid=1607273220&sr=8-4
"Jumper Laptop Computers 13.3 Inch 8GB RAM 256GB ROM Quad Core Celeron, Windows 10 Thin and Light Laptop, Full HD 1080P Display, Support 256GB TF Cardand 1TB SSD Expansion",$349.99,4.4 out of 5 stars,426,https://www.amazon.com/Computers-Celeron-Windows-Display-Expansion/dp/B08LD9HCK9/ref=sr_1_5?dchild=1&keywords=laptop+8gb&qid=1607273220&sr=8-5
"HP 14"" Touchscreen Home and Business Laptop Ryzen 3-3200U, 8GB RAM, 128GB M.2 SSD, Dual-Core up to 3.50 GHz, Vega 3 Graphics, RJ-45, USB-C, 4K Output HDMI, Bluetooth, Webcam, 1366x768, Win 10",$514.90,4.5 out of 5 stars,957,https://www.amazon.com/HP-Touchscreen-Business-Dual-Core-Bluetooth/dp/B081D9HJ4P/ref=sr_1_6?dchild=1&keywords=laptop+8gb&qid=1607273220&sr=8-6
"Mini PC Intel Celeron N3060(up to 2.48GHz) Windows 10 Mini Computer, 4GB DDR3/64GB eMMC, HDMI/VGA Port, Support M.2_2280 SATA SSD, 4K HD, Gigabit Ethernet, 2.4G/5.8G Dual WiFi, BT4.2",$119.00,4.1 out of 5 stars,235,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A10266353EX0JCFLILFL7&url=%2FCeleron-2-48GHz-Computer-M-2-2280-Ethernet%2Fdp%2FB07ZYCZJVQ%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3Dlaptop%2B8gb%26qid%3D1607273220%26sr%3D8-7-spons%26psc%3D1&qualifier=1607273220&id=5446002291691898&widgetName=sp_mtf
"2020 Newest Lenovo IdeaPad 3 15"" HD Touch Screen Laptop, Intel 10th Gen Dual-Core i3-1005G1 CPU, 8GB DDR4 RAM, 256GB PCI-e SSD, Webcam, WiFi 5, Bluetooth, Windows 10 S - Almond",$458.00,4.6 out of 5 stars,156,https://www.amazon.com/Lenovo-IdeaPad-Dual-Core-i3-1005G1-Bluetooth/dp/B08F41S84R/ref=sr_1_8?dchild=1&keywords=laptop+8gb&qid=1607273220&sr=8-8
"Acer Aspire 5 A515-55-56VK, 15.6"" Full HD IPS Display, 10th Gen Intel Core i5-1035G1, 8GB DDR4, 256GB NVMe SSD, WiFi 6, HD Webcam, Fingerprint Reader, Backlit Keyboard, Windows 10 Home",$639.00,4.6 out of 5 stars,366,https://www.amazon.com/Acer-A515-55-56VK-i5-1035G1-Fingerprint-Keyboard/dp/B087RTV311/ref=sr_1_9?dchild=1&keywords=laptop+8gb&qid=1607273220&sr=8-9
"HP 2019 14"" Laptop - Intel Core i3 - 8GB Memory - 128GB Solid State Drive - Ash Silver Keyboard Frame (14-CF0014DX)",$485.00,4.4 out of 5 stars,"1,314",https://www.amazon.com/HP-2019-14-Laptop-14-CF0014DX/dp/B07KNLVRJ2/ref=sr_1_10?dchild=1&keywords=laptop+8gb&qid=1607273220&sr=8-10
